id,title,author,genre,cover,amazonUrl,review
96,「明治」という国家,司馬 遼太郎,人文・歴史,cover/96.jpg,https://www.amazon.co.jp/dp/4140912499,
97,僕には鳥の言葉がわかる,鈴木 俊貴,科学・テクノロジー,cover/97.jpg,https://www.amazon.co.jp/dp/4093891842,
98,人を撮るための完全攻略本　～楽しいポートレート写真術～,青山 裕企,クリエイティブ,cover/98.jpg,https://www.amazon.co.jp/dp/4065370922,
99,イン・ザ・メガチャーチ,朝井 リョウ,小説・文学,cover/99.jpg,https://www.amazon.co.jp/dp/4296121049,
100,世界秩序の変化に対処するための原則 なぜ国家は興亡するのか,レイ・ダリオ,経済・社会,cover/100.jpg,https://www.amazon.co.jp/dp/4296116185,
,,,,,,
,,,人文・歴史,,,
,,,ビジネス,,,
,,,哲学・心理,,,
,,,小説・文学,,,
,,,経済・社会,,,
,,,クリエイティブ,,,
,,,科学・テクノロジー,,,
